Entity,Year,Access to electricity (% of population),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh)
Afghanistan,2020,97.7,0.12,0,0.68
Albania,2020,100,0,0,5.31
Algeria,2020,99.80413,72.01,0,0.72
Angola,2020,46.89061,4.49,0,12.1
Antigua and Barbuda,2020,100,0.31,0,0.02
Argentina,2020,100,91.58,10.06,37.05
Armenia,2020,100,2.98,2.55,1.92
Aruba,2020,100,0.73,0,0.15
Australia,2020,100,186.92,0,63.99
Austria,2020,100,13.77,0,55.42
Azerbaijan,2020,100,23.16,0,1.22
Bahamas,2020,100,1.99,0,0
Bahrain,2020,100,29.85,0,0.01
Bangladesh,2020,96.2,74.41,0,1.31
Barbados,2020,100,0.93,0,0.07
Belarus,2020,100,34.59,0.34,1.27
Belgium,2020,100,30,34.43,23.46
Belize,2020,97.113335,0.38,0,0.24
Benin,2020,41.410957,0.22,0,0.01
Bermuda,2020,100,0,0,0
Bhutan,2020,100,0,0,8.95
Bosnia and Herzegovina,2020,100,10.82,0,4.9
Botswana,2020,71.99476,2.05,0,0.01
Brazil,2020,100,81.15,13.21,520.01
Bulgaria,2020,99.7,16.12,16.63,7.47
Burkina Faso,2020,18.95724,1.43,0,0.21
Burundi,2020,11.735556,0.11,0,0.24
Cambodia,2020,86.4,3.83,0,4.62
Cameroon,2020,64.72137,2.84,0,5.45
Canada,2020,100,102.19,92.65,429.24
Cayman Islands,2020,100,0.67,0,0.02
Central African Rep.,2020,15.465084,0,0,0.15
Chad,2020,11.080117,0.28,0,0.01
Chile,2020,100,43.69,,34.06
China,2020,100,5184.13,366.2,2184.94
Colombia,2020,100,27.17,0,49.97
Comoros,2020,86.73714,0.13,0,0
Congo,2020,49.5171,2.87,0,0.96
Costa Rica,2020,99.9,0.19,0,11.55
Croatia,2020,100,4.69,0,8.55
Cuba,2020,100,15.47,0,3.13
Cyprus,2020,100,4.25,0,0.6
Czechia,2020,100,39.72,30.04,10.39
Denmark,2020,100,5.28,0,23.45
Djibouti,2020,61.767082,0.05,0,0
Dominica,2020,100,0.12,0,0.04
Dominican Rep.,2020,100,13.74,0,2.9
Ecuador,2020,98.85,6.45,0,24.83
Egypt,2020,100,168.46,0,20.83
El Salvador,2020,100,1.29,0,4.97
Equatorial Guinea,2020,66.74773,0.92,0,0.49
Eritrea,2020,52.171097,0.41,0,0.01
Estonia,2020,100,3.11,0,2.97
Eswatini,2020,79.7305,0.04,0,0.7
Ethiopia,2020,51.093983,0.01,0,14.22
Fiji,2020,100,0.4,0,0.7
Finland,2020,100,9.82,23.29,35.93
France,2020,100,48.14,353.83,125.28
Gabon,2020,91.57156,1.19,0,1.01
Gambia,2020,62.273067,0.29,0,0
Georgia,2020,100,2.82,0,8.34
Germany,2020,100,251.4,64.38,251.48
Ghana,2020,85.87355,12.82,0,7.38
Greece,2020,100,30.61,0,17.55
Grenada,2020,93.58645,0.2,0,0
Guatemala,2020,97.05527,4.41,0,9.01
Guinea,2020,44.66868,0.71,0,2.49
Guinea-Bissau,2020,33.33547,0.08,0,0
Guyana,2020,92.54054,1.01,0,0.15
Haiti,2020,46.925533,0.81,0,0.11
Honduras,2020,93.20671,5.46,0,5.85
Hungary,2020,100,13.2,16.06,5.52
Iceland,2020,100,0,0,18.78
India,2020,99,1202.34,44.61,315.76
Indonesia,2020,96.95,238.91,,52.91
Iraq,2020,100,86.45,0,5.3
Ireland,2020,100,18.51,0,13.46
Israel,2020,100,67.75,0,3.86
Italy,2020,100,161.17,0,116.9
Jamaica,2020,100,3.43,0,0.64
Japan,2020,100,716.67,41.86,205.6
Jordan,2020,99.9,15.72,0,4.32
Kazakhstan,2020,100,96.7,,11.94
Kenya,2020,71.43794,0.92,0,10.83
Kiribati,2020,91.96303,0.03,0,0
Kuwait,2020,100,66.89,0,0.05
Kyrgyzstan,2020,99.98105,1.37,0,14.8
Latvia,2020,100,2.08,0,3.64
Lebanon,2020,100,18.28,0,1.21
Lesotho,2020,47.352737,0,0,0.5
Liberia,2020,27.53471,0.36,0,0.53
Libya,2020,69.70735,30.09,0,0.01
Lithuania,2020,100,1.96,0,2.57
Luxembourg,2020,100,0.25,0,0.97
Madagascar,2020,33.735077,1.29,0,0.68
Malawi,2020,14.866769,0.21,0,1.5
Malaysia,2020,100,138.77,,30.54
Maldives,2020,100,0.57,0,0.04
Mali,2020,50.561417,2.04,0,1.16
Malta,2020,100,1.9,0,0.25
Mauritania,2020,47.34842,1.29,0,0.48
Mauritius,2020,99.66165,2.17,0,0.57
Mexico,2020,99.4,245.46,10.87,69.19
Mongolia,2020,98.1,6.04,0,0.68
Montenegro,2020,100,1.62,0,1.77
Morocco,2020,100,31.36,0,7.02
Mozambique,2020,30.603832,3.49,0,15.85
Myanmar,2020,70.397194,12.25,0,11.31
Namibia,2020,56.258694,0.06,0,1.89
Nauru,2020,100,0.04,0,0
Nepal,2020,89.9,0,0,6.33
Netherlands,2020,100,85.95,4.09,32.75
New Caledonia,2020,100,2.73,0,0.42
New Zealand,2020,100,8.42,0,34.77
Nicaragua,2020,88.90738,2,0,2.42
Niger,2020,19.25191,0.38,0,0.05
Nigeria,2020,55.4,21.98,0,7.75
North Macedonia,2020,100,3.86,0,1.48
Norway,2020,100,2.2,0,152.09
Oman,2020,100,34.21,0,0.13
Pakistan,2020,75.37969,84.55,9.64,42.69
Panama,2020,96.704636,2.7,0,8.35
Papua New Guinea,2020,60.4,3.36,0,1.28
Paraguay,2020,100,0.07,0,46.43
Peru,2020,99.31181,19.1,0,33.72
Philippines,2020,96.842384,79.27,0,23.21
Poland,2020,100,128.91,0,28.23
Portugal,2020,100,21.43,0,30.11
Puerto Rico,2020,100,16.67,0,0.47
Qatar,2020,100,44.63,0,0.02
Romania,2020,100,19.54,11.47,24.61
Rwanda,2020,46.6,0.32,0,0.59
Saint Kitts and Nevis,2020,100,0.53,0,0.01
Saint Lucia,2020,100,0.2,0,0.01
Saint Vincent and the Grenadines,2020,100,0.33,0,0
Samoa,2020,100,0.11,0,0.04
Sao Tome and Principe,2020,76.55909,0.1,0,0.06
Saudi Arabia,2020,100,0.09,0,0.01
Senegal,2020,70.36894,337.82,,0.21
Serbia,2020,100,4.23,0,1
Seychelles,2020,100,27.02,0,10.21
Sierra Leone,2020,26.200886,0.53,0,0.07
Singapore,2020,100,0.02,0,0.19
Slovakia,2020,100,50.04,0,0.83
Slovenia,2020,100,6.22,15.44,6.85
Solomon Islands,2020,73.34648,4.96,6.35,5.58
Somalia,2020,49.73087,0.1,0,0
South Africa,2020,84.38554,0.35,0,0.03
S. Sudan,2020,7.2413383,197.5,11.62,12.83
Spain,2020,100,87.64,58.3,113.79
Sri Lanka,2020,100,9.64,0,5.94
Sudan,2020,55.3897,5.68,0,10.79
Suriname,2020,98.20477,0.94,0,0.98
Sweden,2020,100,2.44,49.2,112.15
Switzerland,2020,100,3.62,22.99,40.79
Tajikistan,2020,99.7793,1.62,0,18.11
Thailand,2020,100,154.52,0,24.73
Togo,2020,53.997433,0.43,0,0.15
Tonga,2020,100,0.06,0,0.01
Trinidad and Tobago,2020,100,8.2,0,0.01
Tunisia,2020,100,18.73,0,0.85
Turkey,2020,100,177.08,0,128.34
Turkmenistan,2020,100,20.11,0,0
Tuvalu,2020,99.68923,,,
Uganda,2020,42.074417,0.13,0,4.32
Ukraine,2020,100,54.5,76.2,17.56
United Arab Emirates,2020,100,119.49,1.56,5.5
United Kingdom,2020,100,124.78,50.85,131.74
United States of America,2020,100,2431.9,789.88,821.4
Uruguay,2020,100,2.4,0,11.14
Uzbekistan,2020,100,50.93,0,5.01
Vanuatu,2020,67.33327,0.05,0,0.02
Yemen,2020,73.75793,2.74,0,0.49
Zambia,2020,44.524475,2,0,13.1
Zimbabwe,2020,52.74767,3.4,0,4.19
